Inhibitor_RefID,CHEMBL_ID,Kinase_Target
434,CHEMBL13608,KIT
435,CHEMBL221959,JAK1
436,CHEMBL221959,JAK2
437,CHEMBL221959,JAK3
438,CHEMBL221959,TYK2
439,CHEMBL572878,AURKA
440,CHEMBL572878,AURKB
441,CHEMBL572878,AURKC
442,CHEMBL2103875,BRAF
443,CHEMBL2103875,MAP2K1
444,CHEMBL2103875,MAP2K2
445,CHEMBL3894860,CDK4
446,CHEMBL3894860,CDK6
447,CHEMBL3989868,ERBB2
448,CHEMBL3590106,MAPK1
449,CHEMBL3590106,MAPK3
450,CHEMBL3622821,JAK1
451,CHEMBL3137336,AKT1
452,CHEMBL3137336,AKT2
453,CHEMBL3137336,AKT3
454,CHEMBL24828,VEGFA
455,CHEMBL24828,EGFR
456,CHEMBL24828,PTK6
457,CHEMBL24828,TEK
458,CHEMBL24828,RET
459,CHEMBL2103842,EGFR
460,CHEMBL2103842,ERBB2
461,CHEMBL101253,FLT1
462,CHEMBL101253,KDR
463,CHEMBL101253,FLT4
464,CHEMBL1229517,BRAF
465,CHEMBL2336325,MTOR
466,CHEMBL1233528,PLK1
467,CHEMBL3905910,CDK4
468,CHEMBL3545366,PIK3CA
469,CHEMBL3545366,MTOR
